g_names
CRIP1
NDUFB9
CNOT6L
TOP2B
NDUFA4
ZFP148
ATF4
RPL14
SUPT4H1
ILF3
BCL2A1B
BACH1
CHD7
NAAA
1600029D21RIK
PSMD14
CBX3
CANX
5033414D02RIK
MED8
NCOA3
LYZ1
HIST1H2BC
TPT1P
CHD4
SSR3
POLR2A
MS4A6D
NACA
FOSL2
GLRX
NFE2L2
GTF2B
RPL19
PSMB3
ING1
OAZ1
RPS16
ATP5E
CCRN4L
SPP1
RPS26
HIF1A
HMG20A
PSMA4
KPNA2
RBM3
MTA2
BTG1
RPL7A
TBPL1
MT1
ATP6V0B
DYNC1LI1
VAMP8
2010107E04RIK
GABARAP
TIAL1
TOB1
BUB3
BAZ1A
TAF6
FABP4
BATF3
TAF7
RPL7
H2-T23
HSP90AB1
UQCRQ
LDHA
DENND4A
FUBP3
TAX1BP3
ETFB
NFKBIB
CTSH
UQCRH
AKR1A4
MIF
MMP12
ATP6V1G1
PCNA
NCOR1
TRERF1
CSTB
H3F3A
BOLA2
NDUFB10
TCEB2
UQCRB
SQSTM1
CD24A
FAM195B
ASH1L
FOSB
SUB1
TGIF1
H2-D1
CST3
MGST1
BCAP31
ATP6V1E1
NAA20
HPRT
SNRPB
CCL9
RPS29
SEC11C
SRSF9
DEK
DYNLRB1
PCBD2
CTSC
FCGR2B
TAF12
RPL36AL
IL1R2
EEF1G
MCM4
PGK1
ZMYM2
RPL35A
PSME2
RPS20
FAM96A
SUPT16H
BC028528
ZYX
RPL11
RNPS1
CLAST2
RPL36A
RUVBL2
6720456B07RIK
CHMP2A
MALAT1
BCLAF1
OST4
TCEA1
CTNNB1
USF2
RPL4
MCA32
TPT1
ARPC5
RPL37A
DAZAP2
YBX1
CLEC7A
TRP53
H2AFV
ATP5H
SLC25A3
ATP5F1
COPS2
ARL8B
RBBP7
SMARCA5
CSDE1
SMARCC2
RPS18
CYB5
ELL2
CCL4
PLP2
POLDIP3
CCDC72
TAF9
SSRP1
ANXA4
HMGB1
EWSR1
CYBB
GPX4
CTSB
RASSF4
KDM5C
RPS11
DPEP2
AP2M1
NDUFA2
FCGR3
MRPS21
RPL26
DUSP1
PLIN2
PSMB5
ANXA1
SKI
CYBA
ETV3
COX5B
SGK1
C1QB
CSDA
SELK
SH3BGRL
PSMA6
ABCG1
AES
NDUFA7
NFKB1
HCFC1
NDUFB8
LSP1
CD200R4
TYROBP
ARPC2
EAR11
HIST1H1C
CIITA
RPS5
APEX1
PTP4A2
TNFAIP2
UPF1
HMGN2
MCM5
RPL39
COMMD3
TSG101
ID2
1100001G20RIK
RPL3
RUNX1
1810006K21RIK
POLR1D
ARL6IP5
ZFML
ASS1
ZFX
DDB1
COX8A
FIS1
PTMA
NAPSA
RPS3
GYG
ATP6AP2
MITF
JUP
S100A10
ESD
IL2RG
ANXA2
CD53
COX5A
RFX7
LY86
ITM2B
ARID1B
GRN
SRP14
MDM2
SSR4
MBD2
COX7A2
RPS25
USMG5
CHCHD2
GPX1
HBP1
TRPS1
RPL35
FTH1
ALDOA
PGAM1
CD36
HSPA5
PHB2
GDI2
SDHD
CD200R1
CD83
POLR2H
GM11428
POLR2D
ETS2
TOX4
POLR2K
EHMT1
COX6A1
TFDP1
TREX1
HSBP1
CD52
AEBP2
MED27
TCOF1
MYEOV2
SEC11A
IL1B
CNOT6
EGR1
CD48
ARHGDIB
AF251705
UBTF
MATR3
ZEB2
ACTR2
3110003A17RIK
CXCL2
EGR2
TCEB3
MED21
AA467197
CRIPT
PSMA7
EAR2
EHMT2
GSTM1
H2-DMA
STMN1
DPF2
MCM3
RPS19
TARBP2
LYZ2
ATP6V0D2
STAT3
RPL5
TUBB5
HEXA
BCL2A1D
BTG2
CCL17
SERTAD2
HNRNPD
EIF3K
NFX1
ENO1
EIF5A
ITGB2
SEP15
CDC5L
POLR2F
ERH
HSP90B1
HAX1
NDUFB11
ATP6V1F
PSMB6
PSMA5
LGALS9
FCF1
PRDX2
RPS9
ATP5J2
LIPA
SNX2
RAD51
CFL1
SDCBP
RPS6
RPL10A
TWF1
KDM2B
CDC42
POLR3K
DAD1
ZFHX3
CD81
NDUFA12
IFI27L2A
SRRT
TMEM49
IRF1
MRPS18C
BIN1
LPL
SDHB
UQCR10
MED15
TMSB4X
D8ERTD738E
VPS29
KLF4
CREBBP
MLL2
CFP
GM2A
PCBP2
TCF7L2
SIN3B
SSR2
ZFP91
TUBA1B
MAFF
SRSF2
SSB
CCL3
NSD1
SUZ12
CD68
MARCKS
ATF3
KHDRBS1
CTBP1
SEC61B
HBXIP
P2RY14
IVNS1ABP
SLAMF9
LITAF
HCLS1
CTSS
SMARCB1
RNH1
TNFAIP3
ZFP36
H2-AB1
MDH2
PER1
NPM1
LAPTM5
WBP11
ATP6V0E
EEF1A1
KLF6
NDUFC1
RPS14
RELA
MYST2
GNGT2
HMGA1
RPS28
DNAJC15
UBC
TPM3
NDUFS6
TARDBP
AK185681
NDUFB6
CREB3
1810027O10RIK
SKIL
SND1
SMARCE1
VIM
ILK
SH3BGRL3
VDAC3
BLVRB
CLEC4E
RPL9
MED1
SMAD4
MYL6
RPL28
CTSL
LGALS1
CENPB
MEF2A
AHR
RPL17
ATF6
UBE2L6
ATP5G2
CXCL1
IL1RN
RPS13
LCP1
GTF2F1
LILRB4
AGAP3
BANF1
MRFAP1
SRSF6
RPLP1
CHD1
RPS8
ACTG1
CAPZA2
SUPT6H
H2-EB1
MKL2
RPS27L
LY6E
ANXA3
TCF12
CDKN1A
RAP1B
SUMO2
BCL2A1A
DNMT3A
GM15450
NDUFV3
PPP1CA
SF1
H2-AA
PLD3
HSPA8
SNAPC5
DOT1L
BRP44L
ZNRD1
